ILCE,KAPINO,ENLEM,ACIKLAMA,ILCEID,MAHALLE,MAHALLEID,ADI,BOYLAM,YOL,dist_m,risk_band
KİRAZ,,38.255157327467,3519-012-01,994,ÇANAKÇI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.249046040143,İLKOKUL BAHÇESİ - ÇANAKÇI SOKAK,2612.005616091654,Düşük
BERGAMA,,39.090554672361,3505-106-01,999,SAĞANCI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.03286507997,SAĞANCI YUNUS ŞAHİNKOÇ ORTAOKULU BAHÇESİ - SAĞANCI SOKAK,1563.1770189194947,Düşük
BERGAMA,,39.238024353386,3505-031-01,999,ÇALTIKORU,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.323733211346,ÇALTIKORU SOKAK,3100.2529663995456,Düşük
BERGAMA,,39.217834243818,3505-102-01,999,PAŞAKÖY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.30487262374,PAŞAKÖY SOKAK,5000.979338214349,Güvenli
BERGAMA,,38.970225813107,3505-026-01,999,BOZYERLER,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.116034521306,2777 SOKAK,6289.731944570088,Güvenli
BERGAMA,,39.185224079742,3505-027-01,999,BÖLCEK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.425877119601,BİLGE CAD.,1599.988878983261,Düşük
BERGAMA,,39.1916403524,3505-048-01,999,FERİZLER,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.297062904714,FERİZLER SOKAK,3989.1761513392653,Düşük
BAYINDIR,,38.278712486482,3504-039-01,7,KIZILOBA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.685896437771,KIZILOBA İLKOKULU,9047.353211708458,Güvenli
BAYINDIR,,38.26991239892,3504-018-01,7,DERNEKLİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.547897140244,KÖY MEYDANI,7137.60547958318,Güvenli
BAYINDIR,,38.175912837994,3504-014-01,7,ARIKBAŞI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.494597555103,ÇIRPI MUSTAFA ADANIR ORTAOKULU,717.7132376072968,Orta
BAYINDIR,,38.224412732059,3504-012-01,7,CAMİİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.646696716993,DÖRT EYLÜL İLKOKULU,4240.955357050283,Düşük
BAYINDIR,,38.220712755984,3504-006-01,7,MİTHATPAŞA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.65119670014,ATATÜRK İLKOKULU,3867.8443010114242,Düşük
KİRAZ,,38.23028820225,3519-029-01,994,KIRKÖY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.191714026672,MEHMET AKİF ERSOY CAD.,1040.951094751274,Düşük
ÖDEMİŞ,,38.27568595188,3524-039-01,998,HACIHASAN,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.077717277676,OKUL BAHÇESİ - HACIHASAN MAH. KÜMEEVLER,3790.782795837978,Düşük
ÖDEMİŞ,,38.192589991288,3524-078-01,998,SEYREKLİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.916519689304,OKUL BAHÇESİ - SEYREKLİ MAH. KÜMEEVLER,269.9469306670307,Yüksek
KİRAZ,,38.29539582555,3519-017-01,994,DOKUZLAR,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.147747145552,İLKOKUL BAHÇESİ - DOKUZLAR SOKAK,2506.4555414024444,Düşük
ÖDEMİŞ,,38.231986686227,3524-016-01,998,BUCAK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.109442842583,OKUL BAHÇESİ - BUCAK MAH. KÜMEEVLER,2994.9160819031385,Düşük
ÖDEMİŞ,,38.016138757125,3524-037-01,998,GÜNEY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.978740479372,MAH. MEYDANI - GÜNEY MAH. KÜMEEVLER,11764.370054080375,Güvenli
ÖDEMİŞ,,38.109329604699,3524-075-01,998,OVAKENT,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.019216278587,FUTBOL SAHASI - HAMAM SOKAK,1197.0537872224972,Düşük
ÖDEMİŞ,,38.106349152244,3524-031-01,998,EMİRLİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.119441548426,OKUL BAHÇESİ - EMİRLİ SOKAK,833.1525895626341,Orta
ÖDEMİŞ,,38.201686571249,3524-054-01,998,KIŞLA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.060608865567,OKUL BAHÇESİ - KIŞLA MAH. KÜMEEVLER,679.2787932666251,Orta
BAYRAKLI,,38.476211891437,3530-021-01,11,SOĞUKKUYU,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.115696957811,GİRNE,2408.674964768045,Düşük
BAYINDIR,,38.268812506416,3504-029-01,7,HİSARLIK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.652696618528,ALAÇIK PAZAR ALANI,8400.584097632722,Güvenli
BAYINDIR,,38.282181161513,3504-005-01,7,BALCILAR,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.576286344507,ESKİ OKUL BAHÇESİ - BALCILAR YOLU SOKAK,8392.359906553933,Güvenli
BAYRAKLI,,38.455223071722,3530-014-01,11,MANSUROĞLU,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.184313652279,284/1SOKAK PARK ALANI,4297.227976184798,Düşük
BAYINDIR,,38.225545671173,3504-052-01,7,TURAN,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.67894301448,BAŞÖĞRETMEN ATATÜRK SOKAK,3174.94284653585,Düşük
ÇEŞME,,38.280884965121,3509-022-01,1001,ŞEHİT MEHMET,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.250062617038,336,3870.8759795911815,Düşük
KİRAZ,,38.230620427996,3519-010-01,994,CEVİZLİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.458032779118,İLKOKUL BAHÇESİ - CEVİZLİ SOKAK,1899.3381972465354,Düşük
BERGAMA,,39.071514594227,3505-080-01,999,KAŞIKÇI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.231622481019,KAŞIKÇI SOKAK,1972.761730522901,Düşük
TİRE,,38.080922568169,3527-012-01,997,BAHARİYE,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.735112492971,BAHARİYE MAH. BUĞDAYDEDE TÜRBESİ SK. NU:3,2457.7548358656354,Düşük
ALİAĞA,,38.726166474148,3502-024-01,3,ŞEHİTKEMAL,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.985711168599,GÖKTEPE CADDESİ - ŞEHİTKEMAL ORTAOKULU BAHÇESİ,853.2025859724469,Orta
BUCA,,38.300637032504,3508-017-01,8,DOĞANCILAR,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.340557128544,İLKOKUL BAHÇESİ - 6002 SOKAK VE 6003 SOKAK KESİŞİMİ,8205.318414991261,Güvenli
ÖDEMİŞ,,38.221204332729,3524-082-01,998,ŞİRİNKÖY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.868207137938,ESKİ OKUL BAHÇESİ - ŞİRİNKÖY MAH. KÜMEEVLER,446.22105825478525,Yüksek
ÖDEMİŞ,,38.030155689774,3524-064-01,998,KÜÇÜKÖREN,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.994479892004,MAH. MEYDANI - KÜÇÜKÖREN MAH. KÜMEEVLER,10136.2376735406,Güvenli
TİRE,,38.086182348232,3527-029-01,997,DERELİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.844641276736,DERELİ MAH. MEYDANI - DERELİ CUMHURİYET SOKAK,880.673892268645,Orta
ÖDEMİŞ,,38.275464784204,3524-030-01,998,DOLAYLAR,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.986392957686,OKUL BAHÇESİ - DOLAYLAR MAH. KÜMEEVLER,299.2553809219043,Yüksek
DİKİLİ,,39.062667097422,3511-011-01,995,GAZİPAŞA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.87999979414,MÜNEVVER DENİZOĞLU OKULU BAHÇESİ -  57 SOKAK,3017.445152278121,Düşük
KINIK,,39.011508022888,3518-019-01,996,İBRAHİMAĞA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.260547958494,ESKİ OKUL BAHÇESİ - İBRAHİMAĞA MAH. MEYDANI - KAYIN KÜMEEVLER,9002.349692088499,Güvenli
BERGAMA,,39.179265444842,3505-036-01,999,ÇİTKÖY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.277471202886,İLKOKUL BAHÇESİ - ÇİTKÖY SOKAK,3448.8397933725482,Düşük
BERGAMA,,39.252499029624,3505-133-01,999,YUKARIBEY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.091221639362,KOCA SOKAK,3134.515933644555,Düşük
TİRE,,38.020136999782,3527-069-01,997,ORTAKÖY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.681118872547,ORTAKÖY MAH. MEYDANI - ORTAKÖY MERKEZ KÜMEEVLERİ,7595.731864035705,Güvenli
KİRAZ,,38.245985130818,3519-009-01,994,CERİTLER,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,28.203716946509,İLKOKUL BAHÇESİ - KOCACERİTLER SOKAK,495.6640772672736,Yüksek
DİKİLİ,,39.113040425962,3511-018-01,995,MAZILI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.966228155086,KIROBA ATATÜRK CAD.,4465.385472581424,Düşük
DİKİLİ,,38.996825523267,3511-022-01,995,MERDİVENLİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.851302678538,MERDİVENLİ ATATÜRK,8532.312727381555,Güvenli
ÖDEMİŞ,,38.226175026335,3524-087-01,998,UMURBEY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.97093810564,KAYALI SOKAK OTOPARK,1055.1840512431768,Düşük
